seq,send_ts,ack_ts,rtt_ms
1,1762751784.9457002,1762751784.933043,55.347915998936514
2,1762751785.0011232,1762751784.9881964,54.88195799989626
3,1762751785.056086,1762751785.0434783,55.484499998783576
4,1762751785.111673,1762751785.0990922,55.34970799999428
5,1762751785.167115,1762751785.154486,55.202125000505475
6,1762751785.222398,1762751785.2097828,55.45187499956228
7,1762751785.277923,1762751785.26531,55.32316700009687
8,1762751785.333334,1762751785.3220043,56.73829199986358
9,1762751785.3901892,1762751785.3774652,55.17770799997379
10,1762751785.445497,1762751785.4327407,55.199667000124464
11,1762751785.500799,1762751785.4880538,54.89475000103994
12,1762751785.555799,1762751785.5429044,55.15912500050035
13,1762751785.611087,1762751785.5982955,55.03804099862464
14,1762751785.666228,1762751785.6541996,55.98687500059896
15,1762751785.722313,1762751785.7095897,55.23750000065775
16,1762751785.777676,1762751785.7649143,54.92291699920315
17,1762751785.832695,1762751785.8200974,54.99212500035355
18,1762751785.887775,1762751785.8750615,54.87666599947261
19,1762751785.9427168,1762751785.9300632,55.064124999262276
20,1762751785.997868,1762751785.985211,55.15974999980244
21,1762751786.053163,1762751786.0407317,55.312541999228415
22,1762751786.1085792,1762751786.0961661,55.24804199922073
23,1762751786.1639528,1762751786.151663,55.43283299994073
24,1762751786.2195,1762751786.2068496,55.19191600069462
25,1762751786.274815,1762751786.2623644,55.079249999835156
26,1762751786.330028,1762751786.31784,55.35500000041793
27,1762751786.385508,1762751786.372634,54.54524999913701
28,1762751786.4401338,1762751786.4277601,55.23445799917681
29,1762751786.4954429,1762751786.4827282,55.03999999928055
30,1762751786.550548,1762751786.5374024,54.68099999961851
31,1762751786.6052961,1762751786.5921886,54.75395800021943
32,1762751786.6601548,1762751786.6473582,54.94762499984063
33,1762751786.715208,1762751786.7028482,55.227832999662496
34,1762751786.770623,1762751786.7577078,54.86029100029555
35,1762751786.825751,1762751786.8132007,55.318291999356006
36,1762751786.881272,1762751786.8688064,54.659084000377334
37,1762751786.9360828,1762751786.9232085,54.97124999965308
38,1762751786.991176,1762751786.9784427,55.084584000724135
39,1762751787.0464032,1762751787.0336437,54.8728329995356
40,1762751787.101377,1762751787.089128,55.54837499948917
41,1762751787.1570969,1762751787.1452258,55.58545900021272
42,1762751787.2127738,1762751787.2000728,54.97024999931455
43,1762751787.2677948,1762751787.2542675,54.359666999516776
44,1762751787.3222,1762751787.3092136,54.95074999998906
45,1762751787.377275,1762751787.3645847,59.19941700085474
46,1762751787.436595,1762751787.426079,57.190000001355656
47,1762751787.49391,1762751787.4812336,54.98216699925251
48,1762751787.549061,1762751787.536729,55.54987499999697
49,1762751787.604738,1762751787.5919454,55.211167000379646
50,1762751787.66011,1762751787.6473641,54.841208999278024
51,1762751787.715154,1762751787.7023888,56.552333999206894
52,1762751787.772054,1762751787.7592292,55.04733300040243
53,1762751787.8273752,1762751787.815313,55.65162499988219
54,1762751787.883163,1762751787.8703446,55.17200000031153
55,1762751787.9385018,1762751787.929196,58.476874999541906
56,1762751787.9970639,1762751787.9841952,54.9196669999219
57,1762751788.052048,1762751788.0392249,54.804040999442805
58,1762751788.1069272,1762751788.1000051,60.85204200098815
59,1762751788.1678789,1762751788.1561825,55.87829099931696
60,1762751788.223831,1762751788.2110467,54.96441600007529
61,1762751788.278867,1762751788.266241,55.14783299986448
62,1762751788.3340852,1762751788.321388,55.593208999198396
63,1762751788.389763,1762751788.3770373,54.96741699971608
64,1762751788.444845,1762751788.4323926,55.20329099999799
65,1762751788.5004978,1762751788.487361,54.44770800022525
66,1762751788.5550752,1762751788.5423057,54.69658299989533
67,1762751788.609846,1762751788.596896,54.72541700146394
68,1762751788.664642,1762751788.6521754,55.227082999408594
69,1762751788.7200131,1762751788.7074423,55.33645799914666
70,1762751788.775466,1762751788.7629833,55.29112500153133
71,1762751788.830849,1762751788.8192978,56.398541999442386
72,1762751788.8874292,1762751788.8746393,55.650416999924346
73,1762751788.943249,1762751788.9355054,60.133416000098805
74,1762751789.003509,1762751788.9908538,55.388750000929576
75,1762751789.0590138,1762751789.0463398,55.25520799892547
76,1762751789.1143858,1762751789.1020167,55.4811250003695
77,1762751789.169987,1762751789.1576827,55.55241600086447
78,1762751789.2256682,1762751789.2132838,55.417625000700355
79,1762751789.281166,1762751789.2684853,54.92745799892873
80,1762751789.336152,1762751789.3254158,57.08533300094132
81,1762751789.3933032,1762751789.380249,54.68391700014763
82,1762751789.448055,1762751789.4356303,55.28312500064203
83,1762751789.503434,1762751789.4906788,55.08912499863072
84,1762751789.558645,1762751789.5461855,55.49491700003273
85,1762751789.614362,1762751789.6016893,55.273375000979286
86,1762751789.669761,1762751789.6568878,55.0548749997688
87,1762751789.724946,1762751789.7122056,55.259165999814286
88,1762751789.780341,1762751789.7674804,55.275707998589496
89,1762751789.835745,1762751789.8258145,57.70858400137513
90,1762751789.893674,1762751789.8806155,55.82045799928892
91,1762751789.949591,1762751789.9368458,55.24820799837471
92,1762751790.004997,1762751789.9921858,55.181708999953116
93,1762751790.060308,1762751790.0472913,54.72616699989885
94,1762751790.1151319,1762751790.1023135,55.00508299883222
95,1762751790.170319,1762751790.1572852,54.78275000132271
96,1762751790.225352,1762751790.2126038,55.12070899931132
97,1762751790.2806,1762751790.2678154,55.01741700027196
98,1762751790.335713,1762751790.3229833,55.11166699943715
99,1762751790.390916,1762751790.383002,60.239915999773075
100,1762751790.4512682,1762751790.4385686,55.31729100039229
